integration,metric_name,metric_type,metric_enabled,metric_enabled,metric_description
PostgreSQL,index.rowsRead,Gauge,true,,The number of index entries returned by scans on this index.
PostgreSQL,index.sizeInBytes,Gauge,true,,The size of an index
PostgreSQL,pgbouncer.stats.requestsPerSecond,Rate,true,,The request rate
PostgreSQL,pgbouncer.stats.queriesPerSecond,Rate,true,,The query rate
PostgreSQL,pgbouncer.stats.transactionsPerSecond,Rate,true,,The transaction rate
PostgreSQL,pgbouncer.stats.bytesInPerSecond,Rate,true,,The total network traffic received
PostgreSQL,pgbouncer.stats.bytesOutPerSecond,Rate,true,,The total network traffic sent
PostgreSQL,pgbouncer.stats.totalQueryInMilliseconds,Rate,true,,Time spent by pgbouncer actively querying PostgreSQL
PostgreSQL,pgbouncer.stats.totalTransactionInMilliseconds,Rate,true,,Time spent by pgbouncer in transactions
PostgreSQL,pgbouncer.stats.avgRequests,Gauge,true,,The average number of requests per second in last stat period
PostgreSQL,pgbouncer.stats.avgQueryCount,Gauge,true,,The average number of queries per second in last stat period
PostgreSQL,pgbouncer.stats.avgTransactionCount,Gauge,true,,The average number of transactions per second in last stat period
PostgreSQL,pgbouncer.stats.avgBytesIn,Gauge,true,,The client network traffic received
PostgreSQL,pgbouncer.stats.avgBytesOut,Gauge,true,,The client network traffic sent
PostgreSQL,pgbouncer.stats.avgQueryDurationInMilliseconds,Gauge,true,,The average query duration
PostgreSQL,pgbouncer.stats.avgTransactionDurationInMilliseconds,Gauge,true,,The average transaction duration
PostgreSQL,pgbouncer.pools.clientConnectionsActive,Gauge,true,,Client connections linked to server connection and able to process queries
PostgreSQL,pgbouncer.pools.clientConnectionsWaiting,Gauge,true,,Client connections waiting on a server connection
PostgreSQL,pgbouncer.pools.serverConnectionsLinked,Gauge,true,,Server connections linked to a client connection
PostgreSQL,pgbouncer.pools.serverConnectionsIdle,Gauge,true,,Server connections idle and ready for a client query
PostgreSQL,pgbouncer.pools.serverConnectionsUser,Gauge,true,,"Server connections idle more than server_check_delay, needing server_check_query"
PostgreSQL,pgbouncer.pools.serverConnectionsTested,Gauge,true,,Server connections currently running either server_reset_query or server_check_query
PostgreSQL,pgbouncer.pools.serverConnectionsLogin,Gauge,true,,Server connections currently in the process of logging in
PostgreSQL,pgbouncer.pools.maxwaitInMilliseconds,Gauge,true,,Age of oldest unserved client connection
